description,text,rating
"Assistant Manager (Current Employee) - Singapore - October 18, 2022",Working at GT is fun and your learning curve will be steep as you will get the chance to work on some really exciting projects. You need to work long hours during peak season. Nobody will ask you to do it but workload is so much that you have to do it.,4.0
"Auditor (Current Employee) - Fort Lauderdale, FL - October 18, 2022",Awesome place to work. Teams are friendly and managers and partners care about you. The only thing is the work life balance isn’t really there and understaffed,5.0
"Analyst (Former Employee) - Anourmous - October 6, 2022","The company is a good place to work, except they have a very less compensation against what other people get in the industry.
I would recommend to freshers it's a great place to learn.",5.0
"Administrative Assistant (Former Employee) - Dublin, County Dublin - October 6, 2022","Hard to progress and those that do, don't deserve it, honestly. New people to the company carry over what they did in their previous job and its not how it works in GT. Its it's own system that you've to learn and bringing in people who are not familiar with UK or ROI statutory requirements is ridiculous. Senior management treat you as though every piece of work could be your last or like someone's life depends on it. You could be in GT years and those that have experience elsewhere think they are superior to you in every way. Communication is horrendous at every level there is. Do not apply for this place if you don't have an accountancy background, you will struggle. Keep your options open for other places, you'll see the shambles of a 'structure' it truly is.",2.0
"Senior Associate (Current Employee) - Melville, NY - September 30, 2022",Good culture and caring people but do not work in the melville office if you work in financial services or you will be expected to travel to Manhattan each day,4.0
"Audit Senior (Former Employee) - Karachi - September 27, 2022",Good place for articles they also provide good secondment Opportunities also as a trainee you got fair leaves and lunch allowance and conveyance allowance. HR of GT is very strong.,5.0
"Accountant (Former Employee) - Markham, ON - September 21, 2022","Good place to learn and grow
A lots of audit opportunity
Work life balance is bad
Co-workers are happy to support
Layoff happened after busy season
Laptop and system need be improved",2.0
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"Account Executive (Former Employee) - District of Columbia - September 21, 2022",Everyone is asked to do much more than billable hourly work and target utilization rates are higher than local competitors — leaves everyone slightly overwhelmed all the time.,4.0
"Manager (Current Employee) - Chenoa, IL - September 20, 2022",Not a bad place to work but management needs to be hiring better and fit talent better to right place of fitment. As such not a bad place to work at all if you need only work life balance,2.0
"Audit Intern (Former Employee) - Houston, TX - September 15, 2022",I really enjoyed my internship at Grant Thornton. I was compensated well. My teams maintained positive attitudes. The company culture is great and there is a clear path of progression,5.0
"Manager (Former Employee) - Vancouver, BC - September 14, 2022","I do not recommend working for GT. To me they are only interested in chasing the big four hoping to be rebranded as one of the big five.
No vision for the future on how to get there other than to buy smaller firms and absorb their client base - but then have no clue what to do with them.

It’s an accounting firm - they are all exactly the same. Don’t buy into their “Purple” campaign, it is shallow and absolutely meaningless.",1.0
"Admin Manager (Former Employee) - Gurgaon, Haryana - September 8, 2022",Highly collaborative work environment. Leaders are superb and always keep you motivated. You will be rewarded best and great career growth being associated with this company.,5.0
"Manager (Former Employee) - Anaheim, CA - August 28, 2022","It is a productive place but there is so so much turnover, therefore, workload is increasing gradually. Other benefits are at the average level. Nice place to work",3.0
"Do not wish to disclose (Current Employee) - Do not wish to disclose - August 19, 2022","GT makes a lot of promises about benefits, training, staffing, work culture, and life-work balance which they don’t keep. High turnover! Uncaring Middle Management.",2.0
"Receptionist/Admin (Former Employee) - 221 Garsfontein Rd Summit Place Menlyn - August 17, 2022",Great working environment its always a pleasure for me to go to work with a smile on my face.im excited to know our clients even the voices on the phone.,5.0
"Machine Operator (Current Employee) - Torrance, CA - August 11, 2022","Great place to work. I would recommend working here.
Good quality product, not everyone but most people like myself care about the brand and will work hard to make a difference, and the place a better place to work for all. If you are of the same mindset, please join us",3.0
"Audit Associate (Former Employee) - Singapore - August 8, 2022","- Overall, it provides a great opportunity to learnt especially for accounting graduates. Quite stressful due to the workload but it is manageable if u r hardworking.",5.0
"Contract Administrator (Former Employee) - Kelowna, BC - August 5, 2022","A workplace where you will do the same functions day-in and day-out and not learn anything new for months at a time if your manager doesn't see you as their favourite. There is a reason Grant Thornton is top 20 in Canada for culture(Best Places To Work), however, it's very cliquey. If you want to be paid nominally for your productivity, but live without a lot of pressure, take an admin job here. (unless you're actually an accountant - high pressure, low pay until you reach partner)

The company doesn't really value fast learners with high productivity over supporters of the status quo, so make sure to show you aren't special except at the watercooler/lunchroom. This is the most important place in the office. A worker can be relatively incompetent and still have a wonderfully stable place to live their lives if they make the important popular group their friends. Individuals won't be enough.

Never tell anyone you don't want to become an accountant or that you're not interested in accounting. Always say you're studying or somewhere in the process of learning.",4.0
"Secretary (Former Employee) - Kuala Lumpur - August 5, 2022",You will never regret being part of the organisation.Most professional working environment. Friendly working teams. Positive CEO. Good benefits . Motivation working life.,5.0
"Experienced Manager (Former Employee) - New York, NY - August 3, 2022","Terrible place, bad 401k, and “unlimited vacation” means you get none. They are an audit shop not a true advisory shop, despite aspirations. You have a lot of underperforms that care more about a terrible woke culture than client delivery.",1.0
"Audit Intern (Former Employee) - Kuala Lumpur - August 3, 2022","I have a great internship experience here, thanks to my seniors.
My seniors are friendly and willing to teach, given the opportunity to do some audit working papers.
Good thing abt GT than other big 4: can audit diff industry and company.",4.0
"Administrative Assistant (Current Employee) - Kelowna, BC - July 26, 2022","Wonderful place to work. Amazing culture great values. Awesome benefits, hybrid work if you want. Staff social activities. Great management and friendly co workers.",5.0
"Audit Senior Associate (Former Employee) - Oklahoma City, OK - July 18, 2022","Several mistakes on one work paper you prepared after manager’s review would make you get kicked out of the company. They won’t fire you because they have no reason to do that just based on the mistakes you made. Instead, they will force you out by not assigning you any cases for like two months. Furthermore, the people above you would give you like 90% negative feedback not even constructive feedback without discussing it with you ahead and without telling you the reason afterwards. I am super glad I resigned. The company may be good but OKC office is the worst place I have ever worked at.",1.0
"Audit Staff (Former Employee) - Makati - July 14, 2022",Some co-worker is not approachable in audit division but in other division they are approachable. The salary and benefits is great. the deployment is very smooth.,3.0
"Assurance and Business Advisory Manager (Former Employee) - Calgary, AB - July 6, 2022","Management got fired and new folks came in. Unmotivated junior members.

Life can be busy just any other accounting firms. Not the best clients.

However there were some decent people.",3.0
"Tax Compliance Associate (Former Employee) - Philippines - July 4, 2022","People are supportive of each other and feedback is always provided. The Firm sees to it that its people are always apprised of the changes in tax and accounting rules.

Handling diverse and multiple engagements is a good training ground.",4.0
"Primary POC Service Desk Analyst\Lead (Former Employee) - Oak Brook, IL - July 2, 2022","Contractors treatment is poor and unfair with no regard for advancement and quality of life of worker. The lack of guidance, support, and leadership make this the worst company to work for.",1.0
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"Finance Analyst (Current Employee) - Makati - June 28, 2022","Pros
-bonus
-allowances
-some clients are still wfh

Cons
-long hours
-management, sometimes not approachable
-trainings are done online and i dont find it effective",3.0
"Senior Associate - Financial Due Diligence (Current Employee) - Arlington, VA - June 27, 2022","I work in FDD and the work is stimulating and overall I very much enjoy it despite the long hours and unpredictable work schedule ( part of the game though). Leadership has a good vision for company growth and at least in the S&T practice, growth and margins are good. Pay isn’t as good as Big 4, which isn’t that unexpected, and the 401k match is pretty bad. Overall though I’ve enjoyed my time.",4.0
"Project Manager (Current Employee) - Singapore - June 27, 2022",Exceptional company to work with gives you a lot of freedom to put a cross yourself forward and grow the company as a whole CEO is very focused on looking at the Exception growth,5.0
"SENIOR CONSULTANT - ADVISORY (Current Employee) - Abu Dhabi - June 23, 2022",There's no job security in Grant Thornton. They ll hire you initially by saying that the contract ll be extended and it will be made permanent. But it doesn't happen.,3.0
"Audit Senior (Former Employee) - Makati - June 18, 2022","Compensation is decent but not worth the stress, anxiety and workload that comes with it. Management always ask for suggestions but never listens even if the suggestion were given by most of the staffs from different periods.",1.0
"Intern (Former Employee) - Atlanta, GA - June 13, 2022","Great place to start career, provided great learning opportunities and time with clients. Focused on the future of professional services and strategies to beat the competition.",4.0
"Customer Service Representative (Current Employee) - Downers Grove, IL - June 8, 2022",a typical day at work includes walking around the office throughout the day to make sure everyone is satisfied with coffee and office materials.it also includes lifting fedex/ups boxes which very from 2-50lbs.,5.0
"Trainee (Former Employee) - Gurgaon, Haryana - June 6, 2022","I was working there as an intern trainee and it was great exposure definitely because the tema is very helpful and kind.
Amazing work culture!
Would definitely recommend.",4.0
"Marketing Specialist (Former Employee) - Toronto, ON - June 1, 2022","This was by far the worst job experience I've ever had. The culture is toxic, you live and work in fear and dread going in everyday. The pay was also well below market and you would face retaliation if you dared ask for a raise or comp review.

DO NOT GO HERE!",1.0
"Administrator (Current Employee) - Dublin 2 - May 31, 2022","Highly pervasive attitude of disrespect towards administrative staff among the middle and lower levels of accounting staff: unreasonable demands, scapegoating and open hostility get more and more common the further down the ladder you go.",1.0
"Administrator (Current Employee) - Dublin, County Dublin - May 27, 2022","Employees are overworked
High turnover rate
Some senior management extremely rude and dismissive
Proper training not provided
Low salary in comparison to market rate
No work life balance",1.0
"Associate (Former Employee) - Bangalore, Karnataka - May 26, 2022",They have amazing work culture and supportive management. You will get to learn new technologies and they give platform to implement your knowledge. Good hike and benefits.,5.0
"Associate (Former Employee) - Atlanta, GA - May 24, 2022","Like any position in public accounting, this comes with its work life challenges. Management is trying to keep up with inflation, but there is only so much they can do.",4.0
"Technical Consultant (Former Employee) - Guwahati, Assam - May 20, 2022","I was in GT for a period of 4 months only. After the contract was over I had opted to join somewhere else and so can't comment on long tenure experience. However, enjoyed my engagement with GT for this short tenure with excellent management and supporting colleagues.",5.0
"Audit Support Staff (Former Employee) - Makati - May 19, 2022","Good culture and collaborative people. Employees here are so friendly and helpful. If there's one thing that I surely miss are the supportive and fun people even Managers and Partners, Busy season treats (Food deliveries and stubs), Paid time-off (Weekends and Holidays) and HMO allowance. Great benefits and good salary for fresh grads. Generally a good company to work for if you are looking for a career in Audit industry. Workload depends on accounts assigned and superiors in the team as well as growth. If your superior is great in extending help and client is cooperative, surely there will be growth and a lot of learnings from experiences. Thankful that it is my first employer. The only cons is when your client is unresponsive and unreasonable, and superior is impatient and unapproachable. I think your journey here depends on the team and accounts that will be assigned to you. Goodluck!",5.0
"Senior Audit Associate (Former Employee) - New York, NY - May 16, 2022","What is the best part of working at the company?
People and culture are best park of working here.

What is the most stressful part about working at the company?
Hours, hours, and hours",4.0
"Senior Audit Report Processor (Former Employee) - Chicago, IL - May 13, 2022",If you are looking for career advancement as an Admin this is not the place for you. Management is very biased and there is no upwards mobility for minorities in non audit roles.,1.0
"manager (Former Employee) - new york - May 4, 2022","Good work was rewarded with more work/clients so work life balance became very difficult, leading me to look elsewhere. Became too much to juggle. Great variety in client work.",3.0
"Transfer Pricing Analyst (Former Employee) - Mumbai, Maharashtra - April 27, 2022","It is a good place to work with a good work environment.
The Hr team is also very supportive and all the employee policy is very good and looks at helping the employee grow .",4.0
"Associate (Current Employee) - Alexandria, VA - April 26, 2022","This review is only for Grant Thoronton, Public Sector. Stay away if possible. It has been the worst experience of my life. Joined last year and already looking for new opportunities. Toxic culture, that only works for incompetent management. Company lacks basic consulting expertise and leadership, most of the projects are very small and rely heavily on sub contractors. If you want to be treated like a 10 year old you and waste your time and mental energies on sinking projects with insincere folks, this could be a place.",1.0
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"Director (Former Employee) - North Carolina - April 25, 2022","Long hours are expected from employees. Strong culture on paper, not so much in the day to day messaging. Need to know information was withheld on a regular basis.",3.0
"Audit intern (Former Employee) - Penang - April 24, 2022","Seniors and managers are willing to teach, friendly. Although it is stressful and can’t have a work life balance but overall is a great experience and have great exposure.",4.0
"Audit Senior (Former Employee) - Islamabad - April 20, 2022","Productive and Fast-paced working environment, Management is quite helpful.
It's best if you are at start of your career, and you need excellent learning,",4.0
"Audit Associate 1 (Former Employee) - Kuala Lumpur - April 14, 2022","The top management including HR will expect you to work without any complaints and if there are suggestions of improvements, you are deemed as non-compliance and will be indirectly pushed into resignation through doomed engagements and no promotions/increments/bonus.",1.0
"Audit Intern (Former Employee) - Kuala Lumpur - April 4, 2022","Overall experience was good and able to learn the audit cycle. However, No work life balance and had to work over the weekends to meet the deadlines.",3.0
"Intern (Former Employee) - Johor Bahru - April 2, 2022",Recommend everyone to try this company if ever want to try stressful and long hours job. Totally no life balance. No any guidance from any staff or supervisor since they also stuck their hard job. But it is a very great working experience for any job seeker.,2.0
"Associate (Current Employee) - Bangalore, Karnataka - March 24, 2022","I wouldn't say it as a review! I would address it as my close contact and a life of 365 days plus and ongoing!!!

It's definitely one among the best firms where you could start your career. It's an arena, where you could find Work balance and Life balance if you are on the right track! You just have be positive minded and be smiling truly! It's the best boost and energy you can get! There's some politics play everywhere, that's what we hear! In my case, I haven't encountered any such thing yet. I am glad and thankful to the amazing co-trainees and seniors and everyone, I would say they are friends rather than colleagues!

But in the end, all it matters is the manager you work with anywhere, be it GT or any firm! Try to address positively always, you will see flying colours!",5.0
"Project Manager (Former Employee) - Arlington - March 17, 2022",Upper level management impose deadlines without input from knowledge workers. My time there had above average turnover and unclear advancement opportunities.,3.0
"Audit Senior (Former Employee) - Dublin City Centre, County Dublin - March 11, 2022",Worked in their Dublin office for 4 years and found it a very good place to work. Great atmosphere amongst co-workers and a good mix of experience and enthusiasm amongst the team. Great long term opportunities.,5.0
"Senior Associate (Current Employee) - Washington, DC - March 8, 2022","engaged workday
mentorship environment with
management for the higher position
workplace culture collaborative and constant tools for individual developmental",5.0
"Senior Associate (Former Employee) - Wan Chai, Hong Kong Island - February 28, 2022",Partners are nice. Good growing platform. Great exposure. Supportive colleagues. Not very high salary but less workload compare to Big4. Overall good experience.,5.0
"On consultancy assignment (Former Employee) - Karachi - February 25, 2022",This was a great opportunity to work with. Professional and conducive work environment and very helpful staff members added value to the firm. Team work was essence of the workplace. Management was friendly.,4.0
"IT Compliance Officer (Former Employee) - Makati City - February 23, 2022","Great workplace.

Your superiors will teach you everything that you need for your day to day tasks.

Tasks are challenging and will push you to strive better everyday. You will learn a lot about information security as most data are classified as sensitive and confidential.",5.0
"Repot Processor (Former Employee) - Cinci - February 20, 2022",This ending of 3 of our contracts after just a week with no feedback or a reason was ridiculous! I passed up several jobs for this to happen. Could have at least given a heads up or helped us out somehow. One of the managers was crying during training. It was just a mess!,1.0
"Due Diligence auditor (Former Employee) - Brazil, BR - February 17, 2022","Working in the Accounting Audit was very pleasant, challenging and joyful. Pleasant because I was always doing what I like, which was traveling and accounting auditing. Challenging because always carrying out accounting audits in different clients and with increasing difficulties, requiring more focus and knowledge to complete the work. Happy because I was always with a permanent team where I knew and trusted completely and always with a very good and comfortable environment to work in.",5.0
"Tax Manager (Former Employee) - British Columbia - February 1, 2022","The office was run like a really small firm. Partners needed their egos to be fed.
They tried all tactics to be hostile.
No clear guideline is available",1.0
"Associate (Former Employee) - Alexandria, VA - January 22, 2022","GT's not a bad place to start out of school, and if you're someone who naturally fits in with different groups of people, you likely will be successful here. I thought my team mostly consisted of good people, but the Project Manager kept the work environment tense during busy seasons, and there were colleagues who resorted to petty office politics (e.g. slandering others behind their backs) to get ahead of the pack. Losing several popular partners at the same time didn't help with team morale and probably was the spark leading to dramatic employee turnover, but I imagine everyone's experiences at GT will vary depending on their project.",3.0
"Consultant (Former Employee) - Bengaluru, Karnataka - January 12, 2022",I worked in the internal audit. It was a good learning experience with different clients from different entities covering different kinds of engagements.,4.0
"Advisory Experienced Associate (Current Employee) - New York, NY - January 8, 2022","Pros: nice office facilities, fun workplace activities, lots of DE&I initiatives, decent benefits, most managers very encouraging and want to invest in your growth, generally a friendly work environment

Cons: High turnover, with fewer professionals hired to replace those who left. Constantly short-staffed. Upper management does not understand the severity of the burnout among those on the team even when it is consistently communicated to them - causing plenty of good talent to leave for other firms.",2.0
"Audit Associate (Former Employee) - Phoenix, AZ - January 6, 2022",Definitely learned a lot during my time with the firm. Seniors are there for you if you have questions or are stuck on a problem. I found the firm overall to be encouraging of diversity.,4.0
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"Manager (Current Employee) - Chicago, IL - December 23, 2021",It's an OK place to work. Pay isn't great and advancement opportunities are just OK. They try with culture but it doesn't resonate well. They need to pay their people more.,3.0
"Senior Tax Associate (Current Employee) - New York, NY - December 10, 2021",Grant Thornton is just like any other accounting firm and most reviews from those would match it. One thing that stands out is there is a bit too much Q&A for good and bad. They are a bit too picky with items that are really de minimis.,3.0
"Audit Associate (Current Employee) - UAE - December 5, 2021","Grant thornton UAE is an excellent place to get started with a career in audit. I started my journey with GT as an intern which made me to learn the basics in audit and accounting principles. The manager and the associates gave me all the possible opportunities to perform work and duties independently which initiated confidence. Now being an associate still it gives me the easy way to approach the senior management when a question mark comes in place at work.

Further, GT has the best audit quality and profesionalism in place which will continue to shape as an auditor ahead.",5.0
"Manager/Owner (Former Employee) - Usa - November 29, 2021","The pay is uncompetitive for labor, not a company for stable job to look for. Its better to look other company fo4 jobs and more opportunities to your career.",2.0
"Accounting Intern (Former Employee) - Portland, OR - November 29, 2021","I can really see my career taking off from here. They have given me the tools necessary to succeed, with a lot of education and training tools to introduce me to the world of auditing.",5.0
"Manager (Current Employee) - Chicago - November 9, 2021",I started as an intern and worked my way up - if you work hard and build relationships you will succeed with those around you. Great company I am honored to work for.,4.0
"Tax Associate (Current Employee) - Jacksonville, FL - October 29, 2021",Great company to work for. They helped start my career and provide me with new learning opportunities at all times. I anticipate staying here for a while.,5.0
"Tax Intern (Current Employee) - Melville, NY - October 28, 2021",excited to start my internship after doing the summer GT program. all the people were very nice and my interview went extremely well. I was intimidated at first because my interview was with 2 different managing partners but they were super nice,5.0
"Manager (Current Employee) - Arlington, VA - October 22, 2021","Your path is what you make it to be - if you like a specific line of work and network with management, you can grow in that area. It is a competitive environment, but you can quickly become well known if you volunteer for proposal work and/or internal initiatives, deliver high-quality client work, and maintain positive relationships with leadership. Additionally, leave is ""unlimited"" in the sense that you can freely flex all your hours. You have some base leave, but if you want to take off an extra week here or there, you just need to cushion some of your working days (e.g., work 8.5 hours instead of 8 for a few weeks).",4.0
"Forensic Consultant (Current Employee) - Woodmead, Gauteng - October 18, 2021",It is just a very complex environment which has no benefits but long hours. The experience is good because we get exposed to a lot of different clients.,5.0
"None (Current Employee) - Remote - October 17, 2021",I work 60-70-80 hours a week due to antiquated technology that creates more work for the individual. If they could solve that I would be able to have really good work life balance,3.0
"Manager (Current Employee) - Atlanta, GA - October 14, 2021","On the ECS side of the business there is a lot of uncertainty, not a lot of direction for where the practices want to be, and complete lack of developmental support. However, It seems the accounting/audit business is booming.",3.0
"Tax Associate (Former Employee) - Iselin, NJ - September 28, 2021",You get great experience working with large clients. Very high turnover of the company which leaves work to fall on the shoulders of current employees and seemingly no action from management to rectify the issue. Management pressurize you to stay late and complete the work. Compensation for employees is blanketed and given equally regardless of work performance. There is a lack of transparency from management on firm initiative and direction. Firm initiatives do not align with their goals. Trainings are for only short term and then you are expected to know everything.,1.0
"Senior Associate, Business Consulting - Financial Management (Former Employee) - New York, NY - September 20, 2021","Everything looks good on the outside: well manicured corporate image, professional and intelligent colleagues, growth oriented and entrepreneurial business model. But on the inside, its riddled with rot and decay. My two years I saw a lot changes both from an organizational stand-point as well as employee turnover. GT was constantly trying to figure out what they were and what they wanted to do and would go through heavy lengths to rename, reorg and qualify their position to clients. They touted their Russell-2000 clientele stronghold but desperately wanted to be in the F500 ranks of other well established consultancies. If they got in the door at said aforementioned clients it was menial, arduous work at best to help establish a long-term relationship. Management was so sale-centric that often times they would be pitching the next thing while the ship was currently going down on their current project, no life raft in sight. I felt as if it was a ""sit down and shut-up"" environment should you raise any concerns with project dynamics or even mentoring and career growth for that matter.",1.0
"Risk Analyst (Former Employee) - Atlanta, GA - September 17, 2021","You may be placed on multiple busy seasons and management isn’t concerned about how much effort you put in as long as the work is completed in some way, shape, or form.",3.0
"Senior Audit Associate (Former Employee) - Kuala Lumpur - September 17, 2021","The management here don't respect the staff. They will always think staff are always ready for work even it is weekend. The pay at Grant Thornton is average.

Job exposure can get from Grant Thornton is great. No doubt it is a great learning platform for fresh graduates.

It would be a great company if the management would respect the staff.",3.0
"Tax Associate (Former Employee) - Dallas - September 14, 2021","Worked in tax consulting group but expected to work similar hours during compliance busy season. Great technical skills at all levels, seniors, managers, partners",4.0
"Associate (Former Employee) - New York, NY - September 11, 2021","good culture, good people. not enough fair distribution of work. lot of office politics and favoritism. Pay could be better as well. Really nice office",5.0
"Associate (Former Employee) - United States - September 3, 2021","Overall good experience. There are positives and negatives everywhere.

Pros:
Good people
Training
Development

Cons:
Work life balance
Pay
Insurance",5.0
"Tax Manager (Current Employee) - Houston, TX - August 18, 2021","Grant is a great place to work. I like everyone I work with. It is public accounting, so there are long days and little time off during busy season. However, in slower times of the year, I will leave work early on Fridays to start my weekend early. If you have the fortitude to stick it out, you will grow quickly in your career and be compensated for it.",5.0
"Audit Manager (Former Employee) - Audit Manager - December 7, 2022","The work day is a busy one starting at 8.00 Am with a lunch break , and ending at 5.00 Pm for a normal regulated working hours.

However due to the nature of work you find yourself putting in extra hours so as to be able to meet strict deadlines.
I learned a lot of policies and procedures for auditing and consultancy work as the local office has to adapt to the standard operating procedures of Grant Thornton International .
The most challenging part of the work here is the fact that the accounting and book keeping regimes at the clients places is never that of computerized records and even where records are computerized there will be some problems of incomplete records.

The most enjoyable part of the work here is working with the computer, through the computer and with the computerized auditing and accounting packages",3.0
"Auditor (Current Employee) - Abu Dhabi - August 9, 2021","Working there at Grant Thornton UAE is rich of professionalism and productivity, and the company culture is one of the best cultures in auditing companies in UAE.",5.0
"Semi-Audit Senior (Former Employee) - Lagos - August 5, 2021",Grant Thornton is a good training ground for a beginner. i will encourage all who would want to learn to the rudiments of the accounting profession to start with Grant Thornton.,4.0
"AUDIT IN-CHARGE (SUPERVISOR) (Former Employee) - Makati - July 29, 2021","It's a great place to learn many things from excel, to going around different places, and learning work culture that is based on quality and commitment.",5.0
"Administrative Assistant (Former Employee) - India - July 16, 2021",It was very good company to work at management was awesome and pay was good. Good work culture and rewards for performances. I enjoyed working there and learnt a lot.,5.0
"Senior Audit Associate (Former Employee) - Dallas-Fort Worth, TX - July 13, 2021","Public accounting is a great place to start your career after college. There's a high turnover and managers are all manipulative. GT puts great emphasis on their unlimited FTO policy, but it's not truly unlimited or flexible.",2.0
"Sales Associate (Former Employee) - New York, NY - July 13, 2021","Some good, some bad. Currently a lot of growing pains in the technology side. Some teams receive more talent and time and input from GT as a whole and some tech teams are overlooked.",3.0
"Executive Assistant (Former Employee) - Atlanta, GA - July 12, 2021","The people are nice to work with. They have good pay. They have good culture, and a nice work/life balance. They continue working to improve cultural diversity.",5.0
"Marketing Associate (Former Employee) - New York, NY - July 9, 2021","A good place to start your career. Strong vision, awesome team, and a relax culture. Pay can be better though. Managers really care for you & want you to grow.",5.0
"Associate (Current Employee) - Capital Territory - July 7, 2021",Productive and healthy learning which helps in candidate to have bright future however despite of learning there is common practice of late sittings which effects social life of employees,5.0
